sesi,durasi_s,jarak_m,v_awal,v_akhir,v_min,i_rata_gerak_a,i_rata_diam_a,i_maks_a,wh_total,wh_gerak,wh_diam,wh_per_m_gerak,w_rata_gerak,detik_otonom,sumber_arus
20260914_130443,92,0.0,49.4,49.4,49.3,,6.0,6.0,7.53,0.00,7.53,,,0,eff(/joint_states)
20260914_130632,879,9.9,49.4,49.4,49.0,6.77,3.02,13.2,39.83,6.25,33.58,0.631,336,17,eff(/joint_states)
20260914_132122,41,0.0,49.3,49.4,49.3,,5.29,5.4,2.95,0.00,2.95,,,0,eff(/joint_states)
20260914_132208,130,10.8,49.4,49.4,48.9,5.66,5.58,15.8,9.91,0.05,9.86,0.005,,0,trq(/motor_torque)
20260914_132635,379,34.2,49.3,49.3,49.0,6.98,6.17,12.9,32.79,6.92,25.87,0.202,346,0,trq(/motor_torque)
20260914_133318,116,10.0,49.3,49.3,49.1,7.36,6.83,13.3,10.93,0.93,10.00,0.093,,0,trq(/motor_torque)
20260914_133608,344,20.2,49.3,49.3,49.0,6.8,5.54,14.4,26.70,3.46,23.25,0.171,337,0,trq(/motor_torque)
20260914_135551,210,17.3,49.3,49.3,48.6,12.22,12.11,25.8,34.74,5.12,29.62,0.296,594,0,trq(/motor_torque)
20260914_135931,428,3.2,49.3,49.3,48.5,8.79,3.93,14.9,23.03,0.04,22.99,,,0,trq(/motor_torque)
20260914_141019,278,7.1,49.4,49.3,48.9,6.78,3.15,17.9,13.10,2.09,11.01,0.294,327,0,trq(/motor_torque)
20260914_141522,740,21.7,49.3,49.3,49.0,7.79,4.04,16.0,43.25,4.85,38.40,0.224,380,0,trq(/motor_torque)
20260914_142824,94,9.2,49.3,49.3,48.1,6.91,5.5,16.5,7.04,0.03,7.01,0.003,,0,trq(/motor_torque)
20260914_143008,261,18.1,49.3,49.3,48.9,7.11,5.39,16.6,19.93,2.76,17.17,0.153,355,0,trq(/motor_torque)
20260914_143440,148,8.0,49.3,49.3,49.1,6.47,6.31,10.7,12.84,2.64,10.20,0.330,316,0,trq(/motor_torque)
20260914_143717,390,14.9,49.3,49.3,48.3,7.73,5.36,32.0,29.16,1.80,27.36,0.121,382,0,trq(/motor_torque)
20260914_144417,377,16.8,49.3,49.3,48.7,6.98,5.07,18.2,27.67,5.72,21.95,0.341,343,0,trq(/motor_torque)
20260914_145045,2138,20.6,49.3,49.3,48.5,6.76,2.05,14.2,61.75,2.71,59.05,0.131,336,0,trq(/motor_torque)
20260914_152631,1129,0.0,49.3,49.3,49.3,,1.17,1.2,18.02,0.00,18.02,,,0,eff(/joint_states)
20260915_152510,45,0.0,49.1,49.0,49.0,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260915_154849,7100,13.5,49.0,48.9,48.0,13.41,10.53,33.2,1019.70,18.98,1000.72,1.406,651,0,eff(/joint_states)
20260915_174727,93,4.7,48.9,48.9,48.6,7.06,6.02,14.0,7.69,0.92,6.77,,333,0,trq(/motor_torque)
20260915_174945,1547,15.5,48.9,48.9,48.4,9.12,1.37,25.0,31.48,3.34,28.14,0.215,445,0,trq(/motor_torque)
20260915_181556,117,7.0,48.9,48.8,48.6,8.63,5.72,14.7,9.77,2.14,7.63,0.306,429,0,trq(/motor_torque)
20260915_181802,371,17.8,48.8,48.8,48.4,6.86,4.97,16.7,26.12,4.21,21.91,0.236,337,0,trq(/motor_torque)
20260915_182646,149,3.5,48.8,48.8,48.4,6.67,2.95,11.9,7.05,1.94,5.11,,318,0,trq(/motor_torque)
20260915_182945,38,0.2,48.9,48.8,48.7,7.02,3.62,8.8,1.88,0.03,1.85,,,0,trq(/motor_torque)
20260915_183041,669,12.3,48.8,48.8,48.4,10.51,5.86,19.3,50.71,4.97,45.74,0.404,511,0,trq(/motor_torque)
20260916_120058,126,11.6,48.4,48.4,48.0,6.98,5.96,11.7,10.29,1.56,8.73,0.135,331,0,trq(/motor_torque)
20260916_120314,91,8.4,48.4,48.4,47.5,6.78,5.25,14.6,7.02,2.60,4.42,0.310,323,0,trq(/motor_torque)
20260916_120455,302,41.6,48.4,48.4,47.7,7.65,5.65,16.4,23.80,3.86,19.94,0.093,365,0,trq(/motor_torque)
20260916_133415,62,0.0,48.4,48.4,48.4,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260916_133526,1492,6.5,48.4,48.2,48.1,7.29,2.06,11.1,42.56,1.78,40.78,0.274,356,0,trq(/motor_torque)
20260916_140028,4479,5.1,48.3,48.1,47.7,6.05,1.95,12.2,117.14,0.16,116.97,0.032,,0,trq(/motor_torque)
20260916_151634,184,17.4,48.1,48.1,47.8,6.98,6.68,15.1,16.54,4.62,11.92,0.265,332,0,trq(/motor_torque)
20260916_151956,1220,69.5,48.1,48.1,47.7,7.09,5.27,14.0,87.48,7.25,80.23,0.104,339,0,trq(/motor_torque)
20260916_154204,3307,16.5,48.1,48.1,46.7,6.88,2.05,20.3,91.58,1.75,89.83,0.106,333,0,trq(/motor_torque)
20260916_165922,1089,89.3,48.0,48.0,47.6,7.29,5.35,13.2,82.26,18.04,64.22,0.202,349,0,trq(/motor_torque)
20260916_172637,699,17.6,48.0,47.9,47.4,7.7,2.51,21.4,31.61,12.29,19.32,0.699,369,239,eff(/joint_states)
20260916_173822,341,15.6,47.9,47.9,47.5,7.98,4.05,19.6,22.90,9.32,13.58,0.597,381,247,eff(/joint_states)
20260916_174707,120,8.4,47.9,47.9,47.5,8.0,3.13,18.0,8.92,6.47,2.44,0.771,382,108,eff(/joint_states)
20260916_180316,397,11.2,47.8,47.7,47.4,8.23,8.2,16.8,43.15,10.87,32.29,0.970,391,56,eff(/joint_states)
20260916_181000,181,3.1,47.6,47.7,47.4,6.88,4.61,11.5,11.65,1.77,9.88,,336,17,eff(/joint_states)
20260916_181336,358,24.0,47.7,47.6,46.9,8.13,6.9,20.4,35.12,17.20,17.92,0.716,387,235,eff(/joint_states)
20260916_182528,246,18.3,47.5,47.4,47.0,7.87,5.43,16.3,21.18,11.82,9.36,0.646,373,202,eff(/joint_states)
20260916_182940,404,21.7,47.4,47.2,46.7,8.21,6.53,21.8,37.16,13.01,24.15,0.599,387,353,eff(/joint_states)
20260916_183630,526,37.1,47.2,47.1,46.6,7.86,5.8,19.9,45.87,23.14,22.73,0.624,369,368,eff(/joint_states)
20260916_184959,341,29.5,47.0,46.8,46.4,8.83,7.22,32.6,35.44,19.30,16.14,0.654,413,181,eff(/joint_states)
20260916_190117,402,32.2,46.7,46.5,46.2,7.98,5.72,18.9,34.89,18.30,16.59,0.568,370,277,eff(/joint_states)
20260916_190859,705,10.2,46.5,46.2,46.2,7.81,4.14,12.8,40.05,5.34,34.70,0.524,363,45,eff(/joint_states)
20260916_192058,288,14.1,46.2,46.2,45.6,11.23,4.99,29.8,24.24,10.51,13.73,0.745,518,143,eff(/joint_states)
20260917_134122,12846,0.0,50.1,49.9,49.8,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260917_171535,592,0.0,49.9,49.8,49.8,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260917_172532,2500,0.0,49.8,49.7,49.7,,0.0,0.0,0.00,0.00,0.00,,,0,trq(/motor_torque)
20260918_110049,209,7.3,50.1,50.1,49.9,6.68,2.87,9.7,9.17,1.47,7.71,0.201,330,0,trq(/motor_torque)
20260918_110426,644,67.9,50.1,50.1,49.7,7.6,7.32,25.3,65.92,13.30,52.62,0.196,380,0,trq(/motor_torque)
20260918_111518,7832,140.0,50.1,50.1,49.4,7.28,2.81,14.9,323.24,28.56,294.68,0.204,365,0,trq(/motor_torque)
20260918_132741,60,0.0,50.0,50.1,50.0,,2.1,2.1,1.76,0.00,1.76,,,0,eff(/joint_states)
