sesi,tanggal,baris,durasi_s,jarak_m,n_bat,bat_awal_v,bat_akhir_v,bat_min_v,bat_maks_v,bat_rata_v,i_rata_a,i_maks_a,i_rata_gerak_a,i_rata_diam_a,detik_gerak,detik_diam,p_rata_w,energi_wh,energi_gerak_wh,energi_diam_wh,detik_otonom,sumber_arus
20260811_200246,20260811,6216,124,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260811_204937,20260811,33200,664,0.3,33196,48.60,48.60,47.50,48.60,48.60,5.45,10.30,3.29,5.46,2,662,264.8,48.840,0.097,48.743,0,trq(/motor_torque)
20260811_210638,20260811,33966,679,2.1,33962,48.60,48.60,48.40,48.60,48.59,1.17,3.10,2.68,1.17,1,678,57.0,10.749,0.030,10.719,0,trq(/motor_torque)
20260811_211801,20260811,30901,618,7981.5,30894,48.60,48.60,48.10,48.60,48.57,1.40,1.40,1.40,1.40,3,615,68.0,11.671,0.061,11.610,0,trq(/motor_torque)
20260811_214051,20260811,9844,197,8.9,9843,48.50,48.10,47.40,48.90,48.16,20.36,33.20,15.21,20.80,16,181,978.9,53.526,3.192,50.334,0,trq(/motor_torque)
20260811_230451,20260811,44038,881,40.0,43185,48.40,48.20,27.80,49.00,48.11,6.66,32.90,16.23,6.36,27,853,319.7,78.225,5.858,72.368,0,trq(/motor_torque)
20260811_234357,20260811,25809,516,3.5,25806,48.10,48.10,48.00,48.20,48.12,5.16,17.20,13.74,5.15,0,516,248.1,35.572,0.062,35.510,0,trq(/motor_torque)
20260812_003439,20260812,35752,715,2.3,35054,48.10,48.10,46.30,48.90,48.10,1.84,17.90,7.12,1.81,4,711,88.2,17.512,0.335,17.177,0,eff(/joint_states)
20260812_005240,20260812,4724,94,0.0,0,,,,,,0.00,0.00,,0.00,0,94,,0.000,0.000,0.000,0,eff(/joint_states)
20260812_005422,20260812,491,10,0.0,0,,,,,,0.00,0.00,,0.00,0,10,,0.000,0.000,0.000,0,eff(/joint_states)
20260812_005957,20260812,28797,576,4008.1,28786,48.10,48.00,46.60,48.40,47.87,14.39,33.00,23.12,13.18,70,506,686.8,109.872,21.492,88.380,0,trq(/motor_torque)
20260812_010139,20260812,20206,404,33.0,20205,48.10,48.00,46.60,48.40,47.79,20.23,33.00,23.17,19.49,80,324,965.4,108.372,24.723,83.649,0,trq(/motor_torque)
20260812_010828,20260812,542,11,3962.8,541,48.00,48.00,48.00,48.00,48.00,1.60,1.60,,1.60,0,11,76.8,0.230,0.000,0.230,0,trq(/motor_torque)
20260812_011028,20260812,757,15,0.2,756,48.00,48.00,47.70,48.10,48.02,1.83,6.90,3.78,1.69,1,14,87.9,0.369,0.050,0.319,0,trq(/motor_torque)
20260812_011120,20260812,15943,319,28.5,15177,48.00,47.80,47.00,48.60,47.81,16.34,30.90,13.74,16.90,56,262,780.0,69.078,10.295,58.783,0,eff(/joint_states)
20260812_011713,20260812,43776,876,13.4,43308,48.00,47.70,47.10,48.10,47.74,24.94,33.30,21.94,25.16,59,817,1190.0,289.395,17.096,272.299,0,eff(/joint_states)
20260812_141856,20260812,13759,275,0.0,13751,47.10,47.00,46.90,47.10,47.04,0.00,0.00,,0.00,0,275,,0.000,0.000,0.000,0,trq(/motor_torque)
20260812_143451,20260812,4332,87,0.0,4326,46.80,46.70,46.70,46.80,46.77,5.10,5.10,,5.10,0,87,238.3,5.733,0.000,5.733,0,trq(/motor_torque)
20260812_153614,20260812,3648,73,0.0,3647,45.40,45.30,45.30,45.40,45.38,2.10,2.10,,2.10,0,73,95.3,1.931,0.000,1.931,0,trq(/motor_torque)
20260812_161638,20260812,10137,203,0.0,10129,43.90,43.80,43.70,44.00,43.83,4.09,4.10,,4.09,0,203,179.1,10.087,0.000,10.087,0,trq(/motor_torque)
20260812_165547,20260812,5837,117,5.2,5828,43.20,43.00,42.50,43.20,43.08,3.87,23.20,4.59,3.85,4,113,166.2,5.389,0.192,5.197,0,trq(/motor_torque)
20260812_165849,20260812,24920,498,0.0,24915,43.00,42.40,42.40,43.00,42.71,0.00,0.00,,0.00,0,498,,0.000,0.000,0.000,0,trq(/motor_torque)
20260812_170720,20260812,3829,77,2.9,3820,42.40,42.40,25.50,43.10,41.69,1.66,14.70,4.69,1.60,2,75,70.0,1.489,0.084,1.405,0,trq(/motor_torque)
20260813_112738,20260813,803975,16079,0.0,799045,49.70,50.10,49.70,50.40,50.09,0.00,0.00,,0.00,0,15981,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_160002,20260813,7947,159,0.0,7942,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,159,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_160248,20260813,23882,478,31.0,23877,50.10,50.10,49.10,50.80,49.85,20.03,33.10,20.70,19.89,81,397,997.1,132.289,23.057,109.233,0,trq(/motor_torque)
20260813_161121,20260813,13267,265,9.2,13259,50.10,50.00,49.10,50.80,49.94,19.56,29.50,22.84,18.91,44,222,975.5,71.889,13.788,58.101,0,trq(/motor_torque)
20260813_161611,20260813,44681,894,66.9,44680,50.10,50.00,49.00,50.70,49.88,18.39,33.20,19.62,18.11,169,725,916.7,227.533,45.852,181.681,0,trq(/motor_torque)
20260813_163141,20260813,990,20,0.0,982,50.00,50.00,50.00,50.10,50.01,0.00,0.00,,0.00,0,20,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_163208,20260813,136974,2739,67.5,136970,50.00,50.10,48.90,50.70,50.02,7.58,33.10,15.40,7.13,148,2592,378.4,287.915,31.487,256.428,0,trq(/motor_torque)
20260813_173609,20260813,1448,29,0.0,520,49.60,50.10,49.60,50.10,50.04,0.00,0.00,,0.00,0,10,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_173643,20260813,2369,47,0.0,2367,50.10,50.10,50.00,50.10,50.09,0.00,0.00,,0.00,0,47,,0.000,0.000,0.000,0,trq(/motor_torque)
20260813_173738,20260813,142595,2852,93.1,142591,50.10,50.00,48.80,50.70,49.99,14.57,33.40,14.42,14.59,241,2611,727.9,576.647,48.088,528.559,0,trq(/motor_torque)
20260813_201126,20260813,65533,1311,75.0,65529,50.00,49.90,48.80,50.50,49.82,13.98,33.40,18.38,13.28,179,1132,695.2,253.114,45.446,207.668,0,trq(/motor_torque)
20260814_104716,20260814,14610,292,0.0,7166,49.10,49.60,49.00,49.80,49.59,0.00,0.00,,0.00,0,143,,0.000,0.000,0.000,0,trq(/motor_torque)
20260814_110525,20260814,4448,89,0.0,4448,49.50,49.50,49.50,49.60,49.50,0.00,0.00,,0.00,0,89,,0.000,0.000,0.000,0,eff(/joint_states)
20260814_111347,20260814,14153,283,0.0,14152,49.50,49.50,49.50,49.60,49.50,0.00,0.00,,0.00,0,283,,0.000,0.000,0.000,0,eff(/joint_states)
20260814_112537,20260814,50556,1011,2.1,50551,49.50,49.60,48.70,49.60,49.56,0.00,0.00,0.00,0.00,11,1000,,0.000,0.000,0.000,0,eff(/joint_states)
20260814_114246,20260814,17293,346,1.0,17289,49.60,49.60,49.00,49.60,49.58,1.60,8.60,3.81,1.56,6,340,79.4,7.627,0.311,7.316,0,eff(/joint_states)
20260814_135126,20260814,44112,882,6.4,38208,49.60,49.60,48.10,49.70,49.44,7.65,33.40,20.26,6.73,52,712,326.7,80.060,14.494,65.567,0,eff(/joint_states)
20260814_141527,20260814,8827,177,7.0,8812,49.60,49.50,47.90,49.80,49.44,4.93,29.90,16.98,2.87,26,151,242.0,11.866,5.965,5.901,0,eff(/joint_states)
20260814_142008,20260814,40165,803,0.0,40154,49.50,49.60,49.00,49.60,49.51,0.20,33.00,12.30,0.20,0,803,9.8,2.196,0.041,2.156,9,eff(/joint_states)
20260814_143401,20260814,17497,350,5.0,17496,49.50,49.50,48.00,49.70,49.49,4.91,31.60,19.43,3.04,40,310,241.9,23.511,10.589,12.922,2,eff(/joint_states)
20260814_143959,20260814,18100,362,1.0,18090,49.50,49.50,48.60,49.60,49.49,10.17,31.80,21.67,9.97,6,356,503.0,50.578,1.792,48.785,10,eff(/joint_states)
20260814_150229,20260814,4743,95,1.0,4740,49.60,49.60,49.30,49.60,49.59,0.55,7.90,3.99,0.35,5,90,27.2,0.716,0.285,0.431,0,eff(/joint_states)
20260814_150428,20260814,19645,393,0.2,19638,49.50,49.60,48.80,49.80,49.60,1.27,12.30,4.15,1.26,1,391,62.9,6.868,0.081,6.787,0,eff(/joint_states)
20260814_151318,20260814,53490,1070,1.5,53489,49.60,49.60,48.60,49.70,49.58,1.86,31.30,9.51,1.82,6,1064,92.0,27.352,0.768,26.584,0,eff(/joint_states)
20260814_153319,20260814,8105,162,0.7,8096,49.60,49.60,49.00,49.80,49.59,1.37,17.10,2.96,1.23,14,148,68.1,3.064,0.553,2.511,0,eff(/joint_states)
20260814_153840,20260814,5020,100,0.2,5013,49.60,49.60,49.20,49.60,49.60,1.50,9.20,4.25,1.44,2,98,74.5,2.076,0.121,1.955,0,eff(/joint_states)
20260814_154219,20260814,11161,223,1.8,11154,49.60,49.60,49.20,49.70,49.60,2.53,8.30,2.69,2.32,129,94,125.6,7.789,4.789,3.000,0,eff(/joint_states)
20260814_154753,20260814,13759,275,0.4,13746,49.50,49.60,48.60,49.80,49.59,2.97,12.60,3.69,2.96,3,272,146.9,11.231,0.165,11.066,0,eff(/joint_states)
20260814_155434,20260814,15627,313,2.2,15608,49.50,49.50,48.20,49.90,49.47,2.38,32.20,20.07,1.56,14,298,116.9,10.152,3.762,6.390,0,eff(/joint_states)
20260814_160143,20260814,14894,298,3.4,14889,49.60,49.50,48.50,49.70,49.56,3.67,32.30,12.47,3.43,8,290,181.2,14.990,1.365,13.625,0,trq(/motor_torque)
20260814_160654,20260814,684,14,0.0,674,49.60,49.60,49.60,49.60,49.60,0.00,0.00,,0.00,0,14,,0.000,0.000,0.000,0,trq(/motor_torque)
20260814_160848,20260814,25805,516,9.2,25797,49.60,49.60,48.30,49.70,49.53,2.75,33.00,18.34,1.79,30,486,135.3,19.399,7.522,11.877,0,trq(/motor_torque)
20260814_161752,20260814,8647,173,0.0,8638,49.60,49.60,49.50,49.60,49.60,0.00,0.00,,0.00,0,173,,0.000,0.000,0.000,0,eff(/joint_states)
20260814_162056,20260814,23047,461,13.4,23018,49.60,49.50,48.10,50.00,49.48,6.33,33.00,15.58,3.56,106,354,312.0,39.945,22.677,17.268,31,eff(/joint_states)
20260814_162853,20260814,4706,94,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260814_163959,20260814,26550,531,6.8,26544,49.50,49.50,47.80,49.70,49.45,5.36,33.20,16.52,5.08,13,518,264.1,38.952,2.941,36.011,11,eff(/joint_states)
20260814_165647,20260814,41645,833,0.3,41615,49.50,49.50,48.80,49.60,49.49,2.49,32.90,12.04,2.45,3,829,122.7,28.397,0.542,27.855,22,eff(/joint_states)
20260814_171125,20260814,74289,1486,7.6,74288,49.50,49.50,48.90,49.60,49.49,0.92,29.50,16.63,0.39,48,1437,45.5,18.776,11.018,7.758,0,eff(/joint_states)
20260814_174134,20260814,24755,495,1.6,24737,49.50,49.50,49.00,49.60,49.48,3.48,33.40,5.87,3.41,13,481,171.7,23.613,1.072,22.541,19,eff(/joint_states)
20260814_174953,20260814,10114,202,9.2,10086,49.50,49.40,48.80,49.60,49.38,8.06,28.40,16.70,5.79,42,160,395.7,22.233,9.591,12.642,70,eff(/joint_states)
20260814_181111,20260814,62700,1254,2.9,62645,49.60,49.50,48.90,50.00,49.50,4.53,27.60,13.64,4.40,17,1236,223.9,77.985,3.118,74.868,9,eff(/joint_states)
20260818_164632,20260818,3730,75,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_164810,20260818,431,9,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_174146,20260818,23791,476,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_174949,20260818,1255,25,0.0,1250,50.20,50.30,50.10,50.50,50.26,0.00,0.00,,0.00,0,25,,0.000,0.000,0.000,0,trq(/motor_torque)
20260818_175029,20260818,7850,157,0.0,7849,50.20,50.10,49.70,50.50,50.22,0.00,0.00,,0.00,0,157,,0.000,0.000,0.000,0,eff(/joint_states)
20260818_175753,20260818,5585,112,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_175948,20260818,11331,227,14.9,11323,50.30,50.20,48.80,51.20,50.08,14.78,33.00,19.45,13.74,41,185,738.5,46.483,11.123,35.360,0,trq(/motor_torque)
20260818_180342,20260818,14900,298,0.0,14896,50.10,50.10,50.10,50.20,50.12,6.46,10.00,,6.46,0,298,323.7,26.793,0.000,26.793,0,trq(/motor_torque)
20260818_180843,20260818,6660,133,0.0,6653,50.10,50.10,50.10,50.20,50.11,0.00,0.00,,0.00,0,133,,0.000,0.000,0.000,0,trq(/motor_torque)
20260818_181102,20260818,9126,182,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_181457,20260818,15024,300,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_182003,20260818,28536,571,3135.6,28524,50.10,50.10,50.00,50.20,50.10,0.06,7.90,5.72,0.06,0,570,3.1,0.492,0.029,0.464,2,trq(/motor_torque)
20260818_182228,20260818,1395,28,413.6,1394,50.10,50.10,50.10,50.10,50.10,0.00,0.00,,0.00,0,28,,0.000,0.000,0.000,0,trq(/motor_torque)
20260818_182630,20260818,112050,2241,2832.1,112020,50.10,49.90,48.30,50.70,49.87,0.00,0.00,0.00,0.00,637,1604,,0.000,0.000,0.000,733,trq(/motor_torque)
20260818_182940,20260818,102565,2051,118.6,102540,50.10,49.90,48.30,50.70,49.85,10.92,33.40,19.93,6.68,656,1395,542.7,309.249,180.458,128.791,669,eff(/joint_states)
20260818_183010,20260818,101050,2021,118.6,101005,50.10,49.90,48.30,50.70,49.85,11.08,33.40,19.93,7.30,606,1414,550.9,309.251,166.567,142.684,670,eff(/joint_states)
20260818_183139,20260818,96615,1932,118.6,96597,50.10,49.90,48.30,50.70,49.84,11.59,33.40,19.92,7.36,651,1281,576.1,309.240,179.193,130.047,639,eff(/joint_states)
20260818_184250,20260818,63100,1262,66.6,63071,49.90,49.90,48.30,50.70,49.81,10.48,33.00,19.49,7.21,336,926,520.6,182.501,90.104,92.397,333,eff(/joint_states)
20260818_190356,20260818,2750,55,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260818_190454,20260818,54070,1081,25.1,49316,49.30,49.80,48.40,50.80,49.72,6.45,33.40,18.46,4.99,108,882,292.6,87.881,27.234,60.647,0,eff(/joint_states)
20260818_192300,20260818,4216,84,0.0,4215,49.70,49.70,49.70,49.80,49.72,13.40,13.40,,13.40,0,84,665.8,15.592,0.000,15.592,30,eff(/joint_states)
20260818_192429,20260818,139597,2792,77.7,139573,49.70,49.70,48.10,50.50,49.65,6.87,33.30,21.65,3.63,502,2289,340.2,263.799,149.440,114.359,603,eff(/joint_states)
20260819_130935,20260819,35350,707,42.3,35349,50.10,50.00,47.90,50.70,49.85,14.23,33.30,21.69,10.40,240,467,707.3,138.891,71.754,67.137,0,eff(/joint_states)
20260819_132126,20260819,42967,859,47.5,42959,50.00,50.00,48.50,51.00,49.96,13.48,33.00,21.08,10.56,239,620,672.6,160.540,69.680,90.859,521,eff(/joint_states)
20260819_133550,20260819,1818,36,0.9,1798,50.10,50.10,48.60,50.60,50.00,5.30,28.00,16.95,3.66,4,32,262.1,2.650,1.051,1.599,0,eff(/joint_states)
20260819_133630,20260819,34532,691,46.1,34517,50.10,50.10,48.30,50.30,49.95,11.39,30.30,20.29,7.92,193,497,567.4,108.840,54.298,54.542,326,eff(/joint_states)
20260819_134805,20260819,124116,2482,15.2,124015,50.10,48.10,48.10,50.40,49.61,0.89,31.60,4.85,0.82,41,2439,44.4,30.618,2.759,27.858,0,eff(/joint_states)
20260819_143328,20260819,26850,537,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260819_144232,20260819,11950,239,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260819_144806,20260819,7800,156,0.0,1735,49.70,50.10,49.60,50.40,50.09,0.00,0.00,,0.00,0,35,,0.000,0.000,0.000,0,eff(/joint_states)
20260819_145058,20260819,25586,512,0.2,25578,50.10,50.10,49.60,50.40,50.10,3.34,11.70,3.46,3.34,2,510,167.1,23.746,0.091,23.655,0,eff(/joint_states)
20260819_145936,20260819,30168,603,5.7,30167,50.10,50.00,49.10,50.30,50.06,6.59,32.40,19.38,5.50,47,556,329.1,55.157,12.662,42.496,0,eff(/joint_states)
20260819_150950,20260819,9500,190,11.3,9494,50.00,50.10,48.50,50.70,49.90,14.38,33.10,18.35,11.79,75,115,716.1,37.790,19.061,18.728,0,eff(/joint_states)
20260819_151310,20260819,62417,1248,90.6,62382,50.00,50.10,49.10,50.70,49.90,15.45,33.10,22.74,10.36,512,735,769.1,266.678,161.281,105.397,773,eff(/joint_states)
20260819_153505,20260819,107130,2143,102.3,107091,50.10,50.10,49.00,50.80,49.96,10.69,32.70,22.76,5.59,637,1505,532.5,316.951,200.488,116.464,1032,eff(/joint_states)
20260819_163152,20260819,6390,128,0.0,6320,50.10,50.10,50.00,50.10,50.10,8.50,8.50,,8.50,0,126,421.3,14.952,0.000,14.952,0,eff(/joint_states)
20260819_170541,20260819,11744,235,0.0,4166,49.70,50.10,49.60,50.50,50.10,0.00,0.00,,0.00,0,83,,0.000,0.000,0.000,0,eff(/joint_states)
20260819_170940,20260819,450,9,0.0,445,50.10,50.10,50.10,50.20,50.10,0.00,0.00,,0.00,0,9,,0.000,0.000,0.000,0,eff(/joint_states)
20260819_170954,20260819,622,12,0.0,615,50.10,50.10,50.10,50.20,50.10,0.00,0.00,,0.00,0,12,,0.000,0.000,0.000,0,eff(/joint_states)
20260819_171028,20260819,36039,721,39.5,36034,50.10,49.70,48.50,50.70,49.99,10.01,33.10,20.42,5.80,208,513,499.3,99.957,58.662,41.295,301,eff(/joint_states)
20260819_172303,20260819,85650,1713,61.1,85627,50.10,50.00,48.90,50.40,50.01,7.76,33.10,20.83,4.42,348,1364,386.7,183.988,100.413,83.575,563,eff(/joint_states)
20260820_141626,20260820,11165,223,3.7,11156,49.60,49.60,49.10,49.60,49.58,3.44,25.10,6.15,3.13,23,200,170.5,10.575,1.975,8.600,6,eff(/joint_states)
20260820_142013,20260820,16168,323,0.9,16135,49.50,49.60,49.10,49.60,49.59,5.20,8.20,6.34,5.17,6,317,257.2,23.099,0.523,22.575,0,eff(/joint_states)
20260820_142601,20260820,9215,184,6.8,9194,49.50,49.60,48.00,50.60,49.55,3.65,29.30,6.31,2.99,37,147,180.5,9.237,3.188,6.049,46,eff(/joint_states)
20260820_142932,20260820,30232,605,51.4,30221,49.60,49.60,48.10,50.10,49.40,16.01,33.20,21.10,11.67,278,327,789.1,132.536,80.309,52.227,372,eff(/joint_states)
20260820_144010,20260820,4068,81,0.9,4066,49.60,49.60,48.70,49.70,49.53,4.23,28.90,18.96,1.90,11,70,208.6,4.712,2.880,1.833,0,eff(/joint_states)
20260820_144151,20260820,1420,28,0.0,1415,49.60,49.60,49.60,49.60,49.60,0.00,0.00,,0.00,0,28,,0.000,0.000,0.000,0,eff(/joint_states)
20260820_144224,20260820,3100,62,0.0,3100,49.60,49.60,49.60,49.60,49.60,0.00,0.00,,0.00,0,62,,0.000,0.000,0.000,0,eff(/joint_states)
20260820_144351,20260820,9318,186,6.8,9317,49.60,49.60,48.40,49.70,49.49,9.30,30.20,16.38,7.22,42,144,459.1,23.764,9.438,14.326,0,eff(/joint_states)
20260820_144709,20260820,43664,873,80.0,43658,49.60,49.50,47.80,50.10,49.38,13.62,32.00,18.05,10.28,376,497,671.5,162.882,92.899,69.983,533,eff(/joint_states)
20260820_150216,20260820,77350,1547,73.6,77281,49.50,49.60,47.60,50.20,49.43,10.95,33.40,20.31,7.82,387,1158,539.4,231.772,107.563,124.209,568,eff(/joint_states)
20260820_152810,20260820,1400,28,0.0,1183,49.00,49.60,49.00,49.60,49.57,0.00,0.00,,0.00,0,24,,0.000,0.000,0.000,0,eff(/joint_states)
20260820_152844,20260820,16267,325,9.7,16228,49.60,49.60,48.80,49.70,49.53,5.79,29.50,14.38,4.00,56,269,285.7,25.814,11.031,14.783,0,eff(/joint_states)
20260820_153416,20260820,60600,1212,23.5,60599,49.60,49.50,48.90,50.00,49.47,9.96,30.30,17.51,9.09,124,1088,492.3,165.723,29.862,135.861,100,eff(/joint_states)
20260820_155549,20260820,96765,1935,149.7,96761,49.50,49.40,48.40,50.60,49.29,18.26,32.60,22.74,13.79,966,969,898.7,483.128,300.306,182.822,1580,eff(/joint_states)
20260820_163345,20260820,13485,270,5.5,13423,49.50,49.50,49.10,49.70,49.44,14.22,27.90,15.88,14.02,29,240,699.5,52.402,6.218,46.184,0,eff(/joint_states)
20260820_163821,20260820,3800,76,3.8,3799,49.40,49.50,48.90,49.60,49.42,11.41,29.90,14.01,10.41,21,55,563.2,11.886,4.047,7.838,0,eff(/joint_states)
20260820_163944,20260820,105682,2114,120.5,105676,49.50,49.50,48.30,50.30,49.38,9.72,30.10,16.54,6.65,656,1458,478.7,281.025,148.247,132.779,1071,eff(/joint_states)
20260820_171616,20260820,18663,373,16.4,18652,49.50,49.50,48.60,50.20,49.41,6.68,31.60,16.62,3.59,88,285,328.5,34.060,20.060,14.000,110,eff(/joint_states)
20260820_172236,20260820,50882,1018,29.5,50881,49.50,49.50,48.60,50.00,49.44,4.99,30.80,16.83,2.64,168,849,245.7,69.452,38.743,30.710,241,eff(/joint_states)
20260820_173954,20260820,25616,512,19.3,25549,49.50,49.50,47.90,50.00,49.43,5.65,31.40,16.39,3.21,94,417,277.4,39.478,21.200,18.278,109,eff(/joint_states)
20260820_174833,20260820,22932,459,31.5,22931,49.50,49.50,47.80,50.30,49.34,11.35,31.90,18.07,7.58,165,294,558.6,71.160,40.728,30.432,219,eff(/joint_states)
20260820_175619,20260820,37050,741,0.0,37049,49.50,49.50,49.50,49.60,49.50,0.00,0.00,,0.00,0,741,,0.000,0.000,0.000,0,eff(/joint_states)
20260820_180846,20260820,24700,494,24.9,24658,49.50,49.50,48.40,50.00,49.39,8.46,32.60,16.61,5.44,134,360,415.8,57.055,30.313,26.741,184,eff(/joint_states)
20260821_095708,20260821,25,0,0.0,24,50.10,50.10,50.10,50.10,50.10,0.00,0.00,,0.00,0,0,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_095712,20260821,1000,20,0.0,999,50.10,50.10,50.00,50.20,50.10,0.00,0.00,,0.00,0,20,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_100004,20260821,50374,1007,0.0,50370,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,1007,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_101658,20260821,51000,1020,0.0,50997,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,1020,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_103404,20260821,35015,700,0.4,35013,50.10,50.10,50.00,50.10,50.10,0.21,6.00,3.95,0.18,7,694,10.7,2.081,0.372,1.709,4,eff(/joint_states)
20260821_104549,20260821,105616,2112,6.7,105611,50.10,50.10,48.60,50.50,50.09,2.94,22.30,6.24,2.92,13,2099,147.0,86.280,1.118,85.162,0,trq(/motor_torque)
