sesi,tanggal,baris,durasi_s,jarak_m,n_bat,bat_awal_v,bat_akhir_v,bat_min_v,bat_maks_v,bat_rata_v,i_rata_a,i_maks_a,i_rata_gerak_a,i_rata_diam_a,detik_gerak,detik_diam,p_rata_w,energi_wh,energi_gerak_wh,energi_diam_wh,detik_otonom,sumber_arus
20260916_172637,20260916,34930,699,17.6,34929,48.00,47.90,47.20,48.00,47.88,3.41,21.40,7.70,2.51,120,578,162.9,31.613,12.294,19.319,239,eff(/joint_states)
20260914_141522,20260914,37014,740,21.7,37013,49.30,49.30,48.90,49.40,49.29,4.27,16.00,7.79,4.04,46,695,210.3,43.247,4.852,38.395,0,trq(/motor_torque)
20260826_155618,20260826,32780,656,19.9,32773,50.10,19.90,19.90,50.40,47.03,9.13,32.50,17.93,6.98,129,527,421.9,76.832,31.958,44.874,405,eff(/joint_states)
20260918_110426,20260918,32182,644,67.9,32177,50.10,50.10,49.70,50.40,50.03,7.37,25.30,7.60,7.32,126,518,368.7,65.918,13.296,52.621,0,trq(/motor_torque)
20260915_183041,20260915,33463,669,12.3,33458,48.80,39.90,39.90,48.90,44.51,6.10,19.30,10.51,5.86,35,634,272.8,50.714,4.970,45.744,0,trq(/motor_torque)
20260923_140344,20260923,91300,1826,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260918_145302,20260918,32465,649,12.5,32457,50.10,50.10,49.70,50.20,50.07,5.94,33.40,11.64,4.90,100,549,297.0,53.564,16.203,37.361,448,eff(/joint_states)
20260916_190859,20260916,35230,705,10.2,35192,46.50,46.30,46.00,46.60,46.38,4.42,12.80,7.81,4.14,53,651,204.6,40.046,5.341,34.705,45,eff(/joint_states)
20260826_113255,20260826,37368,747,13.8,37367,50.10,50.00,48.60,50.80,50.07,4.94,33.10,14.66,4.29,47,700,246.8,51.245,9.502,41.744,0,eff(/joint_states)
20260821_163108,20260821,31266,625,45.2,31264,50.10,50.10,49.20,51.20,49.92,18.27,33.10,21.33,17.80,82,543,910.9,158.218,24.281,133.936,0,trq(/motor_torque)
20260824_173427,20260824,30315,606,41.2,30312,49.60,49.60,48.10,50.00,49.46,9.88,30.20,15.26,7.42,190,416,487.6,82.121,39.861,42.260,147,eff(/joint_states)
20260918_162458,20260918,29700,594,64.7,29695,50.10,50.00,49.30,50.40,49.98,6.93,24.70,6.97,6.93,126,468,346.5,57.165,12.220,44.945,0,trq(/motor_torque)
20260824_185634,20260824,29700,594,27.6,29553,49.50,49.50,48.20,50.10,49.45,10.73,29.90,17.87,6.75,212,379,527.2,86.988,51.924,35.064,244,eff(/joint_states)
20260821_141546,20260821,30450,609,28.9,30447,50.10,50.10,49.20,50.60,50.02,12.23,33.00,15.04,11.15,170,439,611.3,103.413,35.383,68.030,184,eff(/joint_states)
20260824_170853,20260824,33918,678,16.6,33917,49.60,49.60,48.00,50.10,49.56,3.65,33.30,15.13,2.29,72,606,180.4,33.991,14.961,19.030,0,eff(/joint_states)
20260916_183630,20260916,26278,526,37.1,26273,47.20,47.10,46.50,47.40,47.06,6.68,19.90,7.86,5.80,226,300,314.2,45.868,23.138,22.730,368,eff(/joint_states)
20260831_132329,20260831,26950,539,2.4,26916,49.10,48.80,47.80,49.40,49.11,6.50,31.10,24.16,5.88,18,520,318.3,47.664,6.006,41.658,273,eff(/joint_states)
20260827_125826,20260827,30417,608,8.3,30412,49.60,49.60,47.90,50.50,49.54,2.66,29.10,14.67,2.09,28,581,131.4,22.205,5.531,16.674,0,eff(/joint_states)
20260826_171234,20260826,28718,574,19.3,28714,50.00,50.00,48.50,50.20,50.02,7.25,28.60,10.68,6.45,110,465,362.5,57.842,16.210,41.633,0,eff(/joint_states)
20260824_174444,20260824,24015,480,22.4,24014,49.60,49.60,48.60,50.00,49.50,8.13,31.50,15.19,5.39,134,346,401.2,53.526,27.911,25.614,65,eff(/joint_states)
20260918_133349,20260918,23516,470,44.0,23514,50.10,50.10,49.50,50.30,50.02,6.43,15.40,7.28,6.27,75,395,321.6,42.018,7.611,34.407,0,trq(/motor_torque)
20260828_181525,20260828,27995,560,7.5,27986,49.40,49.40,48.40,49.70,49.40,1.33,33.10,18.51,0.75,18,542,65.1,10.126,4.556,5.570,0,eff(/joint_states)
20260918_140621,20260918,21178,424,26.4,21169,50.10,50.10,49.60,50.30,50.04,6.17,16.80,7.81,5.33,143,280,308.6,36.302,15.622,20.681,227,eff(/joint_states)
20260916_190117,20260916,20100,402,32.2,20099,46.70,46.50,46.10,46.90,46.53,6.72,18.90,7.98,5.72,178,224,312.5,34.887,18.302,16.585,277,eff(/joint_states)
20260916_182940,20260916,20180,404,21.7,20139,47.40,47.20,46.60,47.40,47.24,7.03,21.80,8.21,6.53,121,282,331.5,37.157,13.005,24.152,353,eff(/joint_states)
20260918_154850,20260918,22332,447,23.3,22319,50.10,50.10,49.60,50.30,50.05,6.21,13.60,7.31,5.70,141,306,310.5,38.520,14.303,24.217,142,eff(/joint_states)
20260914_143717,20260914,19500,390,14.9,19495,49.30,49.30,48.30,49.50,49.28,5.47,32.00,7.73,5.36,17,373,269.2,29.161,1.805,27.356,0,trq(/motor_torque)
20260916_180316,20260916,19845,397,11.2,19844,47.80,47.80,47.30,48.00,47.72,8.21,16.80,8.23,8.20,100,297,391.4,43.154,10.868,32.287,56,eff(/joint_states)
20260914_135931,20260914,21400,428,3.2,21396,49.30,49.40,48.10,49.40,49.31,3.93,14.90,8.79,3.93,0,428,193.8,23.034,0.043,22.991,0,trq(/motor_torque)
20260914_132635,20260914,18950,379,34.2,18942,49.40,49.30,48.60,49.50,49.26,6.33,12.90,6.98,6.17,72,306,311.5,32.792,6.920,25.872,0,trq(/motor_torque)
20260914_144417,20260914,18832,377,16.8,18826,49.30,49.30,47.70,49.80,49.27,5.37,18.20,6.98,5.07,60,317,264.5,27.669,5.724,21.945,0,trq(/motor_torque)
20260918_141940,20260918,18315,366,21.2,18314,50.10,50.10,49.60,50.20,50.03,7.95,27.10,9.04,7.28,140,227,397.5,40.438,17.523,22.915,236,eff(/joint_states)
20260916_181336,20260916,17882,358,24.0,17876,47.70,47.50,46.90,47.80,47.51,7.45,20.40,8.13,6.90,160,197,353.5,35.119,17.195,17.924,235,eff(/joint_states)
20260917_171535,20260917,29600,592,0.0,29584,49.80,49.80,49.80,49.90,49.82,0.00,0.00,,0.00,0,592,,0.000,0.000,0.000,0,eff(/joint_states)
20260915_181802,20260915,18550,371,17.8,18545,48.80,48.80,47.50,49.50,48.75,5.20,16.70,6.86,4.97,45,326,253.5,26.120,4.207,21.913,0,trq(/motor_torque)
20260916_173822,20260916,17045,341,15.6,17035,47.90,47.90,47.10,48.10,47.83,5.06,19.60,7.98,4.05,88,253,241.9,22.903,9.319,13.584,247,eff(/joint_states)
20260916_184959,20260916,17066,341,29.5,17029,47.10,46.80,46.30,47.10,46.79,8.01,32.60,8.83,7.22,168,172,373.8,35.437,19.296,16.142,181,eff(/joint_states)
20260821_154938,20260821,18550,371,18.8,18513,50.10,50.10,49.20,50.70,49.99,13.10,30.00,18.39,10.43,124,246,652.5,67.239,31.631,35.608,171,eff(/joint_states)
20260918_134222,20260918,18832,377,30.1,18828,50.10,50.10,49.70,50.20,50.04,6.17,17.40,6.80,6.06,57,319,308.6,32.289,5.405,26.883,0,trq(/motor_torque)
20260914_133608,20260914,17200,344,20.2,17197,49.30,49.30,48.80,49.50,49.28,5.67,14.40,6.80,5.54,37,307,279.5,26.705,3.460,23.245,0,trq(/motor_torque)
20260824_185010,20260824,18650,373,20.6,18649,49.60,49.50,48.30,50.10,49.47,9.03,28.40,13.23,6.76,131,242,446.0,46.214,23.746,22.468,0,eff(/joint_states)
20260826_103839,20260826,28223,564,0.0,24370,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,488,,0.000,0.000,0.000,0,eff(/joint_states)
20260918_165040,20260918,16116,322,31.0,16110,50.10,50.10,49.40,50.40,49.99,7.66,18.10,7.20,7.74,48,275,382.9,34.283,4.748,29.535,0,trq(/motor_torque)
20260821_153929,20260821,17850,357,8.0,17845,50.10,50.10,48.90,50.50,50.07,2.82,29.80,15.06,1.45,36,321,140.7,13.951,7.495,6.456,47,eff(/joint_states)
20260821_152613,20260821,16500,330,14.6,16499,50.10,49.90,49.10,50.70,50.00,10.88,30.20,18.96,7.29,101,229,542.7,49.743,26.648,23.095,147,eff(/joint_states)
20260831_170903,20260831,14930,299,19.5,14922,48.60,48.60,47.00,49.30,48.41,15.62,32.80,23.57,8.94,136,162,754.1,62.538,43.115,19.423,157,eff(/joint_states)
20260918_154100,20260918,18200,364,3.8,18193,50.10,50.10,49.00,50.60,50.09,6.58,16.40,7.70,6.51,21,343,329.4,33.300,2.228,31.072,0,eff(/joint_states)
